TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,5,The process contains a unit root.,0.16990446972648204,-3.3069450354258745
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,6,The process contains a unit root.,0.5478114708033278,-2.5375363975191036
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,7,The process contains a unit root.,0.2853858154101908,-3.020750114144923
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,8,The process contains a unit root.,0.3446466799629353,-2.900544559803422
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,9,The process contains a unit root.,0.03069310531155511,-4.009133767533926
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,10,The process contains a unit root.,0.035647056157747346,-3.9564354675639417
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,11,The process contains a unit root.,0.06939146466687285,-3.7054607874980645
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,12,The process contains a unit root.,0.22151456289020138,-3.168291755728301
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,13,The process contains a unit root.,0.3794318181424214,-2.834684182937015
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,14,The process contains a unit root.,0.5627896902054449,-2.5114720011966187
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,15,The process contains a unit root.,0.7801110199919492,-2.0901562081056966
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,16,The process contains a unit root.,0.9310059088103843,-1.5877916837870174
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,17,The process contains a unit root.,0.9863311225579994,-1.017757736716552
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,18,The process contains a unit root.,0.9961077881021575,-0.5814231999256202
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,19,The process contains a unit root.,0.9990829487263134,0.082625566207396
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,20,The process contains a unit root.,0.9989568267698953,-0.0002879046038970089
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,21,The process contains a unit root.,0.9985167938656277,-0.18679448849692215
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,22,The process contains a unit root.,0.9987099667337793,-0.11781110629801442
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,23,The process contains a unit root.,0.9986485859311656,-0.1413717876211396
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,24,The process contains a unit root.,0.9976676595082707,-0.3846193067942312
Adf,Precipitation,ct,Include a constant and linear time trend,0,The process contains a unit root.,3.5009016324789816e-07,-6.372777458934942
Adf,Precipitation,ct,Include a constant and linear time trend,1,The process contains a unit root.,2.3435330844338516e-05,-5.496313104269928
Adf,Precipitation,ct,Include a constant and linear time trend,2,The process contains a unit root.,0.00020970890749347443,-4.995450361569292
Adf,Precipitation,ct,Include a constant and linear time trend,3,The process contains a unit root.,0.01987643709832501,-3.7396326225065715
Adf,Precipitation,ct,Include a constant and linear time trend,4,The process contains a unit root.,0.026166445431923438,-3.6460305515124785
Adf,Precipitation,ct,Include a constant and linear time trend,5,The process contains a unit root.,0.055675342680229084,-3.368959786315703
Adf,Precipitation,ct,Include a constant and linear time trend,6,The process contains a unit root.,0.31354128700146583,-2.529157270583206
Adf,Precipitation,ct,Include a constant and linear time trend,7,The process contains a unit root.,0.16243114180016222,-2.899332055573165
Adf,Precipitation,ct,Include a constant and linear time trend,8,The process contains a unit root.,0.27206259711882164,-2.617148317355882
Adf,Precipitation,ct,Include a constant and linear time trend,9,The process contains a unit root.,0.048514850464038396,-3.4220186789449523
Adf,Precipitation,ct,Include a constant and linear time trend,10,The process contains a unit root.,0.055488303393607274,-3.3702722162185204
Adf,Precipitation,ct,Include a constant and linear time trend,11,The process contains a unit root.,0.07844859491640087,-3.2307398073419833
Adf,Precipitation,ct,Include a constant and linear time trend,12,The process contains a unit root.,0.22370286393094846,-2.7303385474781208
Adf,Precipitation,ct,Include a constant and linear time trend,13,The process contains a unit root.,0.6052464792912113,-1.9929913706228477
Adf,Precipitation,ct,Include a constant and linear time trend,14,The process contains a unit root.,0.7578199733147591,-1.684041854290592
Adf,Precipitation,ct,Include a constant and linear time trend,15,The process contains a unit root.,0.8172030347822703,-1.5340144705872099
Adf,Precipitation,ct,Include a constant and linear time trend,16,The process contains a unit root.,0.9558562896838778,-0.9027876728572948
Adf,Precipitation,ct,Include a constant and linear time trend,17,The process contains a unit root.,0.9876829102281658,-0.37226771910830253
Adf,Precipitation,ct,Include a constant and linear time trend,18,The process contains a unit root.,0.9935568486889234,-0.06129639402905772
Adf,Precipitation,ct,Include a constant and linear time trend,19,The process contains a unit root.,0.9964465162711714,0.34691523238397326
Adf,Precipitation,ct,Include a constant and linear time trend,20,The process contains a unit root.,0.9961666304880379,0.27681514461621404
Adf,Precipitation,ct,Include a constant and linear time trend,21,The process contains a unit root.,0.9960876237737346,0.25964885868371496
Adf,Precipitation,ct,Include a constant and linear time trend,22,The process contains a unit root.,0.9969503038249818,0.5648677466036272
