TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,11,The process contains a unit root.,0.6204119870573006,-2.4096173941094685
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,12,The process contains a unit root.,0.3607358686891464,-2.869739039125248
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,13,The process contains a unit root.,0.07238619172452386,-3.68848012165778
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,14,The process contains a unit root.,0.010689319052637685,-4.352391063265928
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,15,The process contains a unit root.,0.09772555020811718,-3.5633663836622294
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,16,The process contains a unit root.,0.2754655749715459,-3.042191424010075
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,17,The process contains a unit root.,0.2961351438718941,-2.998003550681694
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,18,The process contains a unit root.,0.5594609973707647,-2.517273849138961
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,19,The process contains a unit root.,0.6170444972495084,-2.4156684945181732
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,20,The process contains a unit root.,0.7599417861527421,-2.135890978358723
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,21,The process contains a unit root.,0.7804143925553213,-2.0894496762249055
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,22,The process contains a unit root.,0.38075046623309455,-2.8322386854977375
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,23,The process contains a unit root.,0.7288426698636103,-2.202340388669046
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,24,The process contains a unit root.,0.1438711372125041,-3.3882700871252047
Adf,Precipitation,ct,Include a constant and linear time trend,0,The process contains a unit root.,1.9275529843194947e-11,-8.24625051803879
Adf,Precipitation,ct,Include a constant and linear time trend,1,The process contains a unit root.,1.0139691607798621e-05,-5.678198933974331
Adf,Precipitation,ct,Include a constant and linear time trend,2,The process contains a unit root.,0.00011845457285340005,-5.130093634452194
Adf,Precipitation,ct,Include a constant and linear time trend,3,The process contains a unit root.,0.0009221714545715377,-4.62883743480677
Adf,Precipitation,ct,Include a constant and linear time trend,4,The process contains a unit root.,0.001024216853228155,-4.601724885811624
Adf,Precipitation,ct,Include a constant and linear time trend,5,The process contains a unit root.,0.02212033092997153,-3.7036144664275183
Adf,Precipitation,ct,Include a constant and linear time trend,6,The process contains a unit root.,0.0052470268988942395,-4.1540525006794535
Adf,Precipitation,ct,Include a constant and linear time trend,7,The process contains a unit root.,0.1535172896537627,-2.9274138600559785
Adf,Precipitation,ct,Include a constant and linear time trend,8,The process contains a unit root.,0.4159011720309865,-2.3327964689668743
Adf,Precipitation,ct,Include a constant and linear time trend,9,The process contains a unit root.,0.37083237368052147,-2.4165984578174395
Adf,Precipitation,ct,Include a constant and linear time trend,10,The process contains a unit root.,0.35136646461681537,-2.4539270421355304
Adf,Precipitation,ct,Include a constant and linear time trend,11,The process contains a unit root.,0.44817147405581625,-2.2743764240049873
Adf,Precipitation,ct,Include a constant and linear time trend,12,The process contains a unit root.,0.24931933000286477,-2.668671355836378
Adf,Precipitation,ct,Include a constant and linear time trend,13,The process contains a unit root.,0.05757583582611184,-3.355825002433949
Adf,Precipitation,ct,Include a constant and linear time trend,14,The process contains a unit root.,0.03248265661809262,-3.5699295040980874
Adf,Precipitation,ct,Include a constant and linear time trend,15,The process contains a unit root.,0.23010247756595253,-2.714522019658975
Adf,Precipitation,ct,Include a constant and linear time trend,16,The process contains a unit root.,0.6436130093805015,-1.9212012211422103
Adf,Precipitation,ct,Include a constant and linear time trend,17,The process contains a unit root.,0.6761512208846869,-1.8579839341118805
Adf,Precipitation,ct,Include a constant and linear time trend,18,The process contains a unit root.,0.862369253240158,-1.3950177936179258
Adf,Precipitation,ct,Include a constant and linear time trend,19,The process contains a unit root.,0.8621132050735947,-1.3958964751460212
Adf,Precipitation,ct,Include a constant and linear time trend,20,The process contains a unit root.,0.9002940961350361,-1.2475652601765068
Adf,Precipitation,ct,Include a constant and linear time trend,21,The process contains a unit root.,0.9417222255327866,-1.0174323891638755
Adf,Precipitation,ct,Include a constant and linear time trend,22,The process contains a unit root.,0.9361456451279515,-1.0556411637892296
Adf,Precipitation,ct,Include a constant and linear time trend,23,The process contains a unit root.,0.7505289295732787,-1.7007791290526812
Adf,Precipitation,ct,Include a constant and linear time trend,24,The process contains a unit root.,0.93621813640934,-1.055164348718477
Adf,Radiation,c,Include a constant,0,The process contains a unit root.,4.038751984606838e-11,-7.510015610354533
Adf,Radiation,c,Include a constant,1,The process contains a unit root.,0.00016596743015017006,-4.540592762966524
Adf,Radiation,c,Include a constant,2,The process contains a unit root.,0.0005380722616745597,-4.251664849595689
Adf,Radiation,c,Include a constant,3,The process contains a unit root.,0.0032480773545375133,-3.768365438362789
Adf,Radiation,c,Include a constant,4,The process contains a unit root.,0.08275178367617564,-2.6518262037216975
Adf,Radiation,c,Include a constant,5,The process contains a unit root.,0.1293029027575084,-2.445503625964896
Adf,Radiation,c,Include a constant,6,The process contains a unit root.,0.06287726748782706,-2.7687555939678776
Adf,Radiation,c,Include a constant,7,The process contains a unit root.,0.11731219317583641,-2.4924904271465795
Adf,Radiation,c,Include a constant,8,The process contains a unit root.,0.26476861671194307,-2.0507615729201127
Adf,Radiation,c,Include a constant,9,The process contains a unit root.,0.2593851104349877,-2.0636376730184858
Adf,Radiation,c,Include a constant,10,The process contains a unit root.,0.40530283154670504,-1.7504923131973327
Adf,Radiation,c,Include a constant,11,The process contains a unit root.,0.6748078123827099,-1.1971795676038077
Adf,Radiation,c,Include a constant,12,The process contains a unit root.,0.6459311646252441,-1.2629870639722292
Adf,Radiation,c,Include a constant,13,The process contains a unit root.,0.6473897371078723,-1.2597277632174186
Adf,Radiation,c,Include a constant,14,The process contains a unit root.,0.6971974912164801,-1.1440308700181265
Adf,Radiation,c,Include a constant,15,The process contains a unit root.,0.8453987523205755,-0.7051971877894699
Adf,Radiation,c,Include a constant,16,The process contains a unit root.,0.9109029584846162,-0.39516479594830983
Adf,Radiation,c,Include a constant,17,The process contains a unit root.,0.636053038859531,-1.2848976171363657
Adf,Radiation,c,Include a constant,18,The process contains a unit root.,0.7648571486081238,-0.9677136733684274
Adf,Radiation,c,Include a constant,19,The process contains a unit root.,0.7972153448892403,-0.8714925201936723
Adf,Radiation,c,Include a constant,20,The process contains a unit root.,0.8834447268512325,-0.5425384154963987
Adf,Radiation,c,Include a constant,21,The process contains a unit root.,0.8560773493535896,-0.6631001917978647
Adf,Radiation,c,Include a constant,22,The process contains a unit root.,0.7707837519459396,-0.9507993524382213
Adf,Radiation,c,Include a constant,23,The process contains a unit root.,0.8770606009714832,-0.5725691232586765
Adf,Radiation,c,Include a constant,24,The process contains a unit root.,0.8644442562899506,-0.6283598098938508
Adf,Radiation,nc,No trend components,0,The process contains a unit root.,0.6590258966603768,-0.07428006199144574
Adf,Radiation,nc,No trend components,1,The process contains a unit root.,0.7669215366114245,0.27098758870632633
Adf,Radiation,nc,No trend components,2,The process contains a unit root.,0.7705752129883741,0.28425263357538455
Adf,Radiation,nc,No trend components,3,The process contains a unit root.,0.7706091260540981,0.2843763866162289
Adf,Radiation,nc,No trend components,4,The process contains a unit root.,0.8008404823042992,0.3997558163058229
Adf,Radiation,nc,No trend components,5,The process contains a unit root.,0.8083627503571937,0.43021916873964616
Adf,Radiation,nc,No trend components,6,The process contains a unit root.,0.8392317523347679,0.5643098252274176
Adf,Radiation,nc,No trend components,7,The process contains a unit root.,0.8210041790760778,0.483247419403835
Adf,Radiation,nc,No trend components,8,The process contains a unit root.,0.7610828044749985,0.25006086066755634
Adf,Radiation,nc,No trend components,9,The process contains a unit root.,0.7488447919974531,0.20722137147234748
Adf,Radiation,nc,No trend components,10,The process contains a unit root.,0.7724230504829721,0.2910127153946307
Adf,Radiation,nc,No trend components,11,The process contains a unit root.,0.8206934484139677,0.4819145908783377
Adf,Radiation,nc,No trend components,12,The process contains a unit root.,0.8123642134883602,0.44674659346893303
Adf,Radiation,nc,No trend components,13,The process contains a unit root.,0.8063823832397057,0.42212385419862775
Adf,Radiation,nc,No trend components,14,The process contains a unit root.,0.7837703037397996,0.33331711013538173
Adf,Radiation,nc,No trend components,15,The process contains a unit root.,0.7581862781082888,0.23979922337732673
Adf,Radiation,nc,No trend components,16,The process contains a unit root.,0.8131170096364471,0.4498819184063308
Adf,Radiation,nc,No trend components,17,The process contains a unit root.,0.7290497734330266,0.1405915048475176
Adf,Radiation,nc,No trend components,18,The process contains a unit root.,0.773586483003085,0.2952869968132752
Adf,Radiation,nc,No trend components,19,The process contains a unit root.,0.7798221063855857,0.31843908048757436
Adf,Radiation,nc,No trend components,20,The process contains a unit root.,0.8489207791951925,0.6099503670521873
Adf,Radiation,nc,No trend components,21,The process contains a unit root.,0.8258745749842079,0.5043432050040769
Adf,Radiation,nc,No trend components,22,The process contains a unit root.,0.7855941100955273,0.3402490498898633
Adf,Radiation,nc,No trend components,23,The process contains a unit root.,0.7770128047914775,0.30795708816664524
