TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,11,The process contains a unit root.,0.5613122086221848,-2.5140479661347057
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,12,The process contains a unit root.,0.6141392373293042,-2.420876845664236
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,13,The process contains a unit root.,0.5614815351648761,-2.513752809200421
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,14,The process contains a unit root.,0.561644796379532,-2.513468210028449
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,15,The process contains a unit root.,0.6723280682022473,-2.3139398684590025
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,16,The process contains a unit root.,0.6450051561521408,-2.364908818208984
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,17,The process contains a unit root.,0.41745115548975803,-2.765367249516936
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,18,The process contains a unit root.,0.301788906568302,-2.9862279720140528
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,19,The process contains a unit root.,0.7195559298327883,-2.2213915101118844
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,20,The process contains a unit root.,0.5258307273031679,-2.5756465057615823
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,21,The process contains a unit root.,0.7500882329192606,-2.1574297257710766
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,22,The process contains a unit root.,0.48889186989324257,-2.639647800315944
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,23,The process contains a unit root.,0.33274313089637436,-2.92377154077345
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,24,The process contains a unit root.,0.4403266481223487,-2.7246292441467723
Adf,Precipitation,ct,Include a constant and linear time trend,0,The process contains a unit root.,1.7290506544751244e-07,-6.512863833523324
Adf,Precipitation,ct,Include a constant and linear time trend,1,The process contains a unit root.,0.010070543951846506,-3.9582808668129585
Adf,Precipitation,ct,Include a constant and linear time trend,2,The process contains a unit root.,0.026040368688074307,-3.647704353272876
Adf,Precipitation,ct,Include a constant and linear time trend,3,The process contains a unit root.,0.04253881867463541,-3.4715314223538103
Adf,Precipitation,ct,Include a constant and linear time trend,4,The process contains a unit root.,0.05354316359219994,-3.3841407702001236
Adf,Precipitation,ct,Include a constant and linear time trend,5,The process contains a unit root.,0.01678775891491146,-3.795540667431432
Adf,Precipitation,ct,Include a constant and linear time trend,6,The process contains a unit root.,0.0362968775690181,-3.5299174857674807
Adf,Precipitation,ct,Include a constant and linear time trend,7,The process contains a unit root.,0.041179890910666664,-3.4835967482520123
Adf,Precipitation,ct,Include a constant and linear time trend,8,The process contains a unit root.,0.08175231584321074,-3.2134627003979097
Adf,Precipitation,ct,Include a constant and linear time trend,9,The process contains a unit root.,0.22077337556265486,-2.737678719876251
Adf,Precipitation,ct,Include a constant and linear time trend,10,The process contains a unit root.,0.4575094409486348,-2.2576354164179318
Adf,Precipitation,ct,Include a constant and linear time trend,11,The process contains a unit root.,0.2880578032404363,-2.5824043154228016
Adf,Precipitation,ct,Include a constant and linear time trend,12,The process contains a unit root.,0.3084414194709211,-2.5396271882000176
Adf,Precipitation,ct,Include a constant and linear time trend,13,The process contains a unit root.,0.3055442936880111,-2.54561431480327
Adf,Precipitation,ct,Include a constant and linear time trend,14,The process contains a unit root.,0.3473392622504041,-2.4617555556276436
Adf,Precipitation,ct,Include a constant and linear time trend,15,The process contains a unit root.,0.5204043778893629,-2.1457452107871253
Adf,Precipitation,ct,Include a constant and linear time trend,16,The process contains a unit root.,0.5277105221003838,-2.1327588478177737
Adf,Precipitation,ct,Include a constant and linear time trend,17,The process contains a unit root.,0.40861855217311965,-2.3461352533486157
Adf,Precipitation,ct,Include a constant and linear time trend,18,The process contains a unit root.,0.49774270242038254,-2.1859827609088236
Adf,Precipitation,ct,Include a constant and linear time trend,19,The process contains a unit root.,0.8614216612180557,-1.3982633636700106
Adf,Precipitation,ct,Include a constant and linear time trend,20,The process contains a unit root.,0.8869605719820772,-1.3039021933640698
Adf,Precipitation,ct,Include a constant and linear time trend,21,The process contains a unit root.,0.9495664341146354,-0.9575309385341211
Adf,Precipitation,ct,Include a constant and linear time trend,22,The process contains a unit root.,0.8705960374273336,-1.3660844453320904
Adf,Precipitation,ct,Include a constant and linear time trend,23,The process contains a unit root.,0.8779921453417339,-1.3388098993533697
Adf,Precipitation,ct,Include a constant and linear time trend,24,The process contains a unit root.,0.9631775709314722,-0.8287069951565118
Adf,Radiation,c,Include a constant,0,The process contains a unit root.,4.477015986440716e-05,-4.843999939289587
Adf,Radiation,c,Include a constant,1,The process contains a unit root.,0.012607837416837787,-3.3545891132587187
Adf,Radiation,c,Include a constant,2,The process contains a unit root.,0.10100794544588715,-2.562455050894192
Adf,Radiation,c,Include a constant,3,The process contains a unit root.,0.24098931659556233,-2.1088038010773222
Adf,Radiation,c,Include a constant,4,The process contains a unit root.,0.3888277174449345,-1.7832120532521913
Adf,Radiation,c,Include a constant,5,The process contains a unit root.,0.4043899360797861,-1.752294412010157
Adf,Radiation,c,Include a constant,6,The process contains a unit root.,0.5774268550051639,-1.4100952891090786
Adf,Radiation,c,Include a constant,7,The process contains a unit root.,0.6605511372158466,-1.2300183682702608
Adf,Radiation,c,Include a constant,8,The process contains a unit root.,0.7022328309707339,-1.1317816134927778
Adf,Radiation,c,Include a constant,9,The process contains a unit root.,0.788345433764579,-0.8988665989104654
Adf,Radiation,c,Include a constant,10,The process contains a unit root.,0.8798496693054937,-0.5596109216926383
Adf,Radiation,c,Include a constant,11,The process contains a unit root.,0.86926045630861,-0.6075781863927225
Adf,Radiation,c,Include a constant,12,The process contains a unit root.,0.9230448561422899,-0.317116775685402
Adf,Radiation,c,Include a constant,13,The process contains a unit root.,0.9245497786002806,-0.306701802840107
Adf,Radiation,c,Include a constant,14,The process contains a unit root.,0.9712698316121591,0.18262086107977374
