ISO_N3,ISO_C3,cntry.name,year,mean_pre,mean_rad,mean_tmp,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,SP.POP.TOTL,AG.LND.AGRI.K2,AG.PRD.CROP.XD
764,THA,Thailand,1961,133.4113167812340000000000000000,211.9370410891220000000000000000,26.8775304783805000000000000000,16478543840.0000000000000000000000000000,583.8447655000000000000000000000,28224187.0000000000000000000000000000,116530.0000000000000000000000000000,20.9200000000000000000000000000
764,THA,Thailand,1962,124.8576830128800000000000000000,214.9814612875780000000000000000,26.7038373445066000000000000000,17723374971.0000000000000000000000000000,609.4499074000000000000000000000,29080938.0000000000000000000000000000,119800.0000000000000000000000000000,22.4800000000000000000000000000
764,THA,Thailand,1963,128.6509569892370000000000000000,214.3186484593410000000000000000,26.7198900620937000000000000000,19141214978.0000000000000000000000000000,638.7459942000000000000000000000,29966865.0000000000000000000000000000,124600.0000000000000000000000000000,24.3600000000000000000000000000
764,THA,Thailand,1964,131.9003835240030000000000000000,213.1507164430450000000000000000,26.8206550724359000000000000000,20448750635.0000000000000000000000000000,662.1760712000000000000000000000,30881138.0000000000000000000000000000,126900.0000000000000000000000000000,23.5600000000000000000000000000
764,THA,Thailand,1965,125.2725956584570000000000000000,213.7426982752480000000000000000,26.9440707554117000000000000000,22121798201.0000000000000000000000000000,695.1586763000000000000000000000,31822660.0000000000000000000000000000,129400.0000000000000000000000000000,24.5000000000000000000000000000
764,THA,Thailand,1966,141.7250806290330000000000000000,213.8508146776340000000000000000,27.4245086466279000000000000000,24582299297.0000000000000000000000000000,749.7087998000000000000000000000,32789130.0000000000000000000000000000,132100.0000000000000000000000000000,29.0900000000000000000000000000
764,THA,Thailand,1967,111.4651278156410000000000000000,212.8590364593450000000000000000,26.7812287171833000000000000000,26700305862.0000000000000000000000000000,790.4456835000000000000000000000,33778799.0000000000000000000000000000,134600.0000000000000000000000000000,25.4200000000000000000000000000
764,THA,Thailand,1968,113.2007019476510000000000000000,213.4010059734410000000000000000,27.1126275940214000000000000000,28868976863.0000000000000000000000000000,829.7731449000000000000000000000,34791409.0000000000000000000000000000,137000.0000000000000000000000000000,27.5300000000000000000000000000
764,THA,Thailand,1969,125.0760392029050000000000000000,211.6309647046980000000000000000,27.2462070251563000000000000000,30760085350.0000000000000000000000000000,858.5705295000000000000000000000,35827092.0000000000000000000000000000,139200.0000000000000000000000000000,29.7100000000000000000000000000
764,THA,Thailand,1970,144.0082836384940000000000000000,207.3604967248770000000000000000,27.0167443252986000000000000000,34269180219.0000000000000000000000000000,929.0934342000000000000000000000,36884536.0000000000000000000000000000,142480.0000000000000000000000000000,30.7600000000000000000000000000
764,THA,Thailand,1971,125.6254587144770000000000000000,206.9995537821520000000000000000,26.3974216372617000000000000000,35946784676.0000000000000000000000000000,946.8830557000000000000000000000,37963278.0000000000000000000000000000,143990.0000000000000000000000000000,31.2600000000000000000000000000
764,THA,Thailand,1972,121.5028594914730000000000000000,210.2884801420630000000000000000,27.1381125851322000000000000000,37484770748.0000000000000000000000000000,959.7058745000000000000000000000,39058603.0000000000000000000000000000,152300.0000000000000000000000000000,29.7700000000000000000000000000
764,THA,Thailand,1973,119.2897398045730000000000000000,211.1238187529600000000000000000,27.1643922145541000000000000000,41321874196.0000000000000000000000000000,1028.9418400000000000000000000000,40159582.0000000000000000000000000000,160800.0000000000000000000000000000,35.9200000000000000000000000000
764,THA,Thailand,1974,131.0204298522700000000000000000,207.5564718399820000000000000000,26.6649168468916000000000000000,43167413801.0000000000000000000000000000,1046.4238040000000000000000000000,41252324.0000000000000000000000000000,168830.0000000000000000000000000000,35.2600000000000000000000000000
764,THA,Thailand,1975,130.2529887913680000000000000000,205.7162938611340000000000000000,26.8838231162449000000000000000,45313009194.0000000000000000000000000000,1070.5636060000000000000000000000,42326312.0000000000000000000000000000,172200.0000000000000000000000000000,39.1900000000000000000000000000
764,THA,Thailand,1976,123.6756526007090000000000000000,208.1283263396850000000000000000,26.7779874778883000000000000000,49539267957.0000000000000000000000000000,1142.0558930000000000000000000000,43377271.0000000000000000000000000000,175480.0000000000000000000000000000,42.3500000000000000000000000000
764,THA,Thailand,1977,102.6935822608600000000000000000,209.9278932405060000000000000000,27.0880492369097000000000000000,54415647585.0000000000000000000000000000,1225.4147010000000000000000000000,44405904.0000000000000000000000000000,179650.0000000000000000000000000000,42.5400000000000000000000000000
764,THA,Thailand,1978,125.0593233573190000000000000000,207.0198182542480000000000000000,27.3463925962583000000000000000,60018144736.0000000000000000000000000000,1321.6048050000000000000000000000,45413080.0000000000000000000000000000,183760.0000000000000000000000000000,49.5500000000000000000000000000
764,THA,Thailand,1979,96.6770389949260000000000000000,212.4552986158400000000000000000,27.7360489064907000000000000000,63242179336.0000000000000000000000000000,1362.9264820000000000000000000000,46401754.0000000000000000000000000000,187020.0000000000000000000000000000,46.5400000000000000000000000000
764,THA,Thailand,1980,127.2494725601260000000000000000,207.0160846095070000000000000000,27.4463520053303000000000000000,66514039417.0000000000000000000000000000,1404.0059260000000000000000000000,47374472.0000000000000000000000000000,189380.0000000000000000000000000000,51.5000000000000000000000000000
764,THA,Thailand,1981,121.2818982845570000000000000000,201.6935026685070000000000000000,26.6036681893007000000000000000,70442935769.0000000000000000000000000000,1457.6529480000000000000000000000,48326274.0000000000000000000000000000,193410.0000000000000000000000000000,52.3600000000000000000000000000
764,THA,Thailand,1982,117.9705917760520000000000000000,202.7658616641030000000000000000,26.7093637145453000000000000000,74213287362.0000000000000000000000000000,1506.6882820000000000000000000000,49255900.0000000000000000000000000000,197790.0000000000000000000000000000,52.2000000000000000000000000000
764,THA,Thailand,1983,130.7115157856270000000000000000,205.9236994194750000000000000000,27.0537814907927000000000000000,78357507587.0000000000000000000000000000,1561.7177480000000000000000000000,50173924.0000000000000000000000000000,198980.0000000000000000000000000000,55.6900000000000000000000000000
764,THA,Thailand,1984,116.2391931113810000000000000000,203.4985304100540000000000000000,26.7575161040811000000000000000,82864968558.0000000000000000000000000000,1621.7865280000000000000000000000,51094868.0000000000000000000000000000,200510.0000000000000000000000000000,57.3100000000000000000000000000
764,THA,Thailand,1985,117.3150335047050000000000000000,201.0813363214750000000000000000,26.8281587033768000000000000000,86715902818.0000000000000000000000000000,1666.7512600000000000000000000000,52026901.0000000000000000000000000000,205770.0000000000000000000000000000,60.3000000000000000000000000000
764,THA,Thailand,1986,117.4303944328220000000000000000,203.6414297459060000000000000000,26.7907439866533000000000000000,91514611527.0000000000000000000000000000,1727.3395460000000000000000000000,52980094.0000000000000000000000000000,207750.0000000000000000000000000000,56.5800000000000000000000000000
764,THA,Thailand,1987,115.2178602442410000000000000000,208.1579366344580000000000000000,27.2388681259070000000000000000,100000000000.0000000000000000000000000000,1857.8960270000000000000000000000,53945881.0000000000000000000000000000,212400.0000000000000000000000000000,57.2900000000000000000000000000
764,THA,Thailand,1988,136.7919452585940000000000000000,204.8786278161280000000000000000,26.9829717764740000000000000000,114000000000.0000000000000000000000000000,2068.5155320000000000000000000000,54891520.0000000000000000000000000000,213300.0000000000000000000000000000,65.2400000000000000000000000000
764,THA,Thailand,1989,109.9751523240030000000000000000,208.0898580001370000000000000000,26.9675402662294000000000000000,127000000000.0000000000000000000000000000,2284.0342670000000000000000000000,55772169.0000000000000000000000000000,213370.0000000000000000000000000000,68.3400000000000000000000000000
764,THA,Thailand,1990,119.1016927816820000000000000000,208.4593174404950000000000000000,27.2815043800141000000000000000,142000000000.0000000000000000000000000000,2503.8090360000000000000000000000,56558186.0000000000000000000000000000,213830.0000000000000000000000000000,62.0700000000000000000000000000
764,THA,Thailand,1991,109.1363192540670000000000000000,208.4870099829410000000000000000,27.8011742096124000000000000000,154000000000.0000000000000000000000000000,2686.0685870000000000000000000000,57232465.0000000000000000000000000000,215160.0000000000000000000000000000,66.0200000000000000000000000000
764,THA,Thailand,1992,105.0526898407590000000000000000,207.6788498175430000000000000000,27.4370493344132000000000000000,166000000000.0000000000000000000000000000,2874.1396070000000000000000000000,57811021.0000000000000000000000000000,213740.0000000000000000000000000000,68.5600000000000000000000000000
764,THA,Thailand,1993,104.9302759506440000000000000000,208.8814464232140000000000000000,27.4135812703943000000000000000,180000000000.0000000000000000000000000000,3083.2180820000000000000000000000,58337773.0000000000000000000000000000,212450.0000000000000000000000000000,66.7900000000000000000000000000
764,THA,Thailand,1994,124.9582290918020000000000000000,205.8165268030070000000000000000,27.5113637814590000000000000000,194000000000.0000000000000000000000000000,3299.3848580000000000000000000000,58875269.0000000000000000000000000000,211200.0000000000000000000000000000,70.8300000000000000000000000000
764,THA,Thailand,1995,128.7579816524670000000000000000,205.2110017205380000000000000000,27.3662220128933000000000000000,210000000000.0000000000000000000000000000,3531.7922910000000000000000000000,59467274.0000000000000000000000000000,212100.0000000000000000000000000000,72.8400000000000000000000000000
764,THA,Thailand,1996,137.6520986732850000000000000000,201.7790615147100000000000000000,26.9892633793992000000000000000,222000000000.0000000000000000000000000000,3690.2699110000000000000000000000,60130186.0000000000000000000000000000,208630.0000000000000000000000000000,76.0700000000000000000000000000
764,THA,Thailand,1997,104.4952560774010000000000000000,206.7370796986280000000000000000,27.5313043399000000000000000000,216000000000.0000000000000000000000000000,3546.4034130000000000000000000000,60846582.0000000000000000000000000000,204420.0000000000000000000000000000,77.7100000000000000000000000000
764,THA,Thailand,1998,118.5130103792170000000000000000,210.6061900661860000000000000000,28.1830663714571000000000000000,199000000000.0000000000000000000000000000,3236.3882950000000000000000000000,61585103.0000000000000000000000000000,200520.0000000000000000000000000000,74.8500000000000000000000000000
764,THA,Thailand,1999,140.5002746457200000000000000000,197.5433859734410000000000000000,26.9432096107585000000000000000,208000000000.0000000000000000000000000000,3345.6068240000000000000000000000,62298571.0000000000000000000000000000,200170.0000000000000000000000000000,79.9400000000000000000000000000
764,THA,Thailand,2000,137.4228290724500000000000000000,199.8993293660450000000000000000,27.1881682599763000000000000000,218000000000.0000000000000000000000000000,3458.3527220000000000000000000000,62952642.0000000000000000000000000000,198340.0000000000000000000000000000,90.0500000000000000000000000000
764,THA,Thailand,2001,121.9539781687730000000000000000,200.9148993215760000000000000000,27.7136305134019000000000000000,225000000000.0000000000000000000000000000,3544.4420710000000000000000000000,63539196.0000000000000000000000000000,198280.0000000000000000000000000000,95.2600000000000000000000000000
764,THA,Thailand,2002,125.0710204475110000000000000000,202.0222783486590000000000000000,27.8566070567787000000000000000,239000000000.0000000000000000000000000000,3731.2731420000000000000000000000,64069087.0000000000000000000000000000,196890.0000000000000000000000000000,95.4700000000000000000000000000
764,THA,Thailand,2003,119.7063471404910000000000000000,205.3693967891130000000000000000,27.8035424177381000000000000000,256000000000.0000000000000000000000000000,3969.7349650000000000000000000000,64549866.0000000000000000000000000000,195540.0000000000000000000000000000,101.5500000000000000000000000000
764,THA,Thailand,2004,107.5780156226550000000000000000,205.1447079926160000000000000000,27.7084173615439000000000000000,272000000000.0000000000000000000000000000,4190.4882830000000000000000000000,64995299.0000000000000000000000000000,195550.0000000000000000000000000000,101.1300000000000000000000000000
764,THA,Thailand,2005,121.7257645412980000000000000000,203.2462510744550000000000000000,27.9494864190595000000000000000,284000000000.0000000000000000000000000000,4337.8799750000000000000000000000,65416189.0000000000000000000000000000,196100.0000000000000000000000000000,98.0800000000000000000000000000
764,THA,Thailand,2006,126.2302113456620000000000000000,203.5508773744190000000000000000,27.3447087881311000000000000000,298000000000.0000000000000000000000000000,4525.9555550000000000000000000000,65812536.0000000000000000000000000000,197000.0000000000000000000000000000,100.7900000000000000000000000000
764,THA,Thailand,2007,127.2340755239260000000000000000,203.3370041398160000000000000000,27.2120564037280000000000000000,314000000000.0000000000000000000000000000,4745.3036850000000000000000000000,66182067.0000000000000000000000000000,198000.0000000000000000000000000000,110.3300000000000000000000000000
764,THA,Thailand,2008,133.5920751118020000000000000000,199.3615365497150000000000000000,26.8374779131020000000000000000,319000000000.0000000000000000000000000000,4801.8774650000000000000000000000,66530984.0000000000000000000000000000,200500.0000000000000000000000000000,109.9200000000000000000000000000
764,THA,Thailand,2009,127.7445367393750000000000000000,202.0824438681200000000000000000,27.2286350282190000000000000000,317000000000.0000000000000000000000000000,4744.7627910000000000000000000000,66866839.0000000000000000000000000000,208790.0000000000000000000000000000,111.3200000000000000000000000000
764,THA,Thailand,2010,129.4058986201520000000000000000,202.4398082097950000000000000000,27.8776168476246000000000000000,341000000000.0000000000000000000000000000,5076.3401740000000000000000000000,67195028.0000000000000000000000000000,210600.0000000000000000000000000000,111.1100000000000000000000000000
764,THA,Thailand,2011,156.2464329710630000000000000000,193.5919620639920000000000000000,26.8966812200284000000000000000,344000000000.0000000000000000000000000000,5094.4726610000000000000000000000,67518382.0000000000000000000000000000,210600.0000000000000000000000000000,121.1700000000000000000000000000
764,THA,Thailand,2012,121.4685933167300000000000000000,198.1873412111170000000000000000,27.8135463871870000000000000000,369000000000.0000000000000000000000000000,5437.8776910000000000000000000000,67835957.0000000000000000000000000000,218600.0000000000000000000000000000,130.4400000000000000000000000000
764,THA,Thailand,2013,132.4344979214610000000000000000,196.8607999564320000000000000000,27.4506132514220000000000000000,379000000000.0000000000000000000000000000,5558.7371400000000000000000000000,68144501.0000000000000000000000000000,221100.0000000000000000000000000000,129.8200000000000000000000000000
764,THA,Thailand,2014,111.7841089657920000000000000000,200.7665680725130000000000000000,27.5400618290487000000000000000,383000000000.0000000000000000000000000000,5589.3255910000000000000000000000,68438730.0000000000000000000000000000,221100.0000000000000000000000000000,127.6500000000000000000000000000
764,THA,Thailand,2015,109.2875226451160000000000000000,203.1542087248150000000000000000,27.9351176902433000000000000000,395000000000.0000000000000000000000000000,5741.3539110000000000000000000000,68714511.0000000000000000000000000000,221100.0000000000000000000000000000,119.5300000000000000000000000000
764,THA,Thailand,2016,121.2620642861380000000000000000,201.3523275151900000000000000000,28.0829985731725000000000000000,408000000000.0000000000000000000000000000,5916.1260720000000000000000000000,68971331.0000000000000000000000000000,221100.0000000000000000000000000000,115.6700000000000000000000000000
764,THA,Thailand,2017,154.0812142303200000000000000000,197.0270455820270000000000000000,27.5885204341078000000000000000,425000000000.0000000000000000000000000000,6135.4719600000000000000000000000,69209858.0000000000000000000000000000,..,..
764,THA,Thailand,2018,120.5184065509600000000000000000,195.5572016224910000000000000000,27.5744938860920000000000000000,442000000000.0000000000000000000000000000,6370.0149760000000000000000000000,69428524.0000000000000000000000000000,..,..
764,THA,Thailand,2019,99.7981746036514000000000000000,203.9545247747650000000000000000,28.1636269070114000000000000000,453000000000.0000000000000000000000000000,6502.6474760000000000000000000000,69625582.0000000000000000000000000000,..,..
710,ZAF,South Africa,1961,60.0467791687433000000000000000,223.0338302530740000000000000000,17.8309909545275000000000000000,82111040763.0000000000000000000000000000,4685.4909490000000000000000000000,17524533.0000000000000000000000000000,1013350.0000000000000000000000000000,39.6200000000000000000000000000
710,ZAF,South Africa,1962,54.7791174517005000000000000000,225.3328103800300000000000000000,18.0031396881881000000000000000,87183764870.0000000000000000000000000000,4852.7830000000000000000000000000,17965725.0000000000000000000000000000,1001350.0000000000000000000000000000,40.3300000000000000000000000000
710,ZAF,South Africa,1963,58.3376715212471000000000000000,220.7298569898610000000000000000,17.5945540204197000000000000000,93612358103.0000000000000000000000000000,5081.2321570000000000000000000000,18423161.0000000000000000000000000000,989950.0000000000000000000000000000,43.9400000000000000000000000000
710,ZAF,South Africa,1964,58.4477189079165000000000000000,223.5686759005350000000000000000,17.5056704226327000000000000000,101000000000.0000000000000000000000000000,5347.3398240000000000000000000000,18896307.0000000000000000000000000000,977500.0000000000000000000000000000,41.1300000000000000000000000000
710,ZAF,South Africa,1965,44.7630222999096000000000000000,226.1619141941780000000000000000,17.6252141111640000000000000000,107000000000.0000000000000000000000000000,5531.7305460000000000000000000000,19384841.0000000000000000000000000000,966100.0000000000000000000000000000,41.6500000000000000000000000000
710,ZAF,South Africa,1966,52.6195487653270000000000000000,223.5723668104120000000000000000,17.8913652079977000000000000000,112000000000.0000000000000000000000000000,5631.0128470000000000000000000000,19888250.0000000000000000000000000000,964450.0000000000000000000000000000,45.4500000000000000000000000000
710,ZAF,South Africa,1967,66.2192715082183000000000000000,219.9963158441940000000000000000,17.3685700395718000000000000000,120000000000.0000000000000000000000000000,5882.8494170000000000000000000000,20406864.0000000000000000000000000000,961800.0000000000000000000000000000,63.7400000000000000000000000000
710,ZAF,South Africa,1968,48.9028144110286000000000000000,222.4770127090290000000000000000,17.3120246748044000000000000000,125000000000.0000000000000000000000000000,5970.5794030000000000000000000000,20942145.0000000000000000000000000000,959900.0000000000000000000000000000,50.4400000000000000000000000000
710,ZAF,South Africa,1969,61.2005085791639000000000000000,221.9055456516460000000000000000,17.9313864298050000000000000000,131000000000.0000000000000000000000000000,6091.0310570000000000000000000000,21496075.0000000000000000000000000000,957900.0000000000000000000000000000,52.7700000000000000000000000000
